Source,Target,Type,Label,timeset,Weight,Source_modularity_class,Target_modularity_class,Same_modularity_class
23307326,67272662,Undirected,,,100,19,41,0
23307326,75972073,Undirected,,,101,19,41,0
23307326,25703792,Undirected,,,100,19,41,0
23307326,20329118,Undirected,,,101,19,41,0
23307326,69218138,Undirected,,,100,19,41,0
23307326,31617755,Undirected,,,100,19,41,0
56075422,8891123,Undirected,,,109,10,45,0
43000998,4478628,Undirected,,,100,32,22,0
62137662,44758614,Undirected,,,101,37,2,0
62137662,34285588,Undirected,,,101,37,2,0
62137662,64902813,Undirected,,,104,37,2,0
17900921,3037460,Undirected,,,101,21,38,0
17900921,26857371,Undirected,,,100,21,38,0
17900921,35874498,Undirected,,,102,21,38,0
17900921,62435358,Undirected,,,103,21,38,0
17900921,69788894,Undirected,,,106,21,38,0
17900921,73741520,Undirected,,,101,21,38,0
17900921,64159298,Undirected,,,100,21,38,0
17900921,31175973,Undirected,,,107,21,38,0
17900921,4149548,Undirected,,,101,21,38,0
17900921,17777361,Undirected,,,102,21,38,0
17900921,42825935,Undirected,,,101,21,38,0
17900921,54215887,Undirected,,,105,21,38,0
17900921,43810020,Undirected,,,105,21,38,0
17900921,1359767,Undirected,,,102,21,38,0
17900921,25121499,Undirected,,,102,21,38,0
30582162,28723206,Undirected,,,104,7,20,0
63677921,14171256,Undirected,,,109,36,45,0
63677921,11199676,Undirected,,,108,36,45,0
63677921,42425473,Undirected,,,109,36,37,0
63677921,18462957,Undirected,,,161,36,29,0
37955131,2581592,Undirected,,,102,49,45,0
24028771,17988709,Undirected,,,102,33,37,0
24028771,29278643,Undirected,,,101,33,46,0
76097311,6567254,Undirected,,,101,51,48,0
76097311,61471215,Undirected,,,102,51,47,0
31106861,30092014,Undirected,,,104,22,45,0
73181020,20535673,Undirected,,,100,12,46,0
78292862,49823379,Undirected,,,107,34,20,0
57419665,72973382,Undirected,,,118,43,26,0
51062759,61290558,Undirected,,,107,20,23,0
51062759,20825557,Undirected,,,109,20,23,0
51062759,63056795,Undirected,,,100,20,23,0
51062759,25722398,Undirected,,,104,20,23,0
51062759,29620016,Undirected,,,100,20,23,0
51062759,64807526,Undirected,,,108,20,23,0
51062759,9349608,Undirected,,,104,20,23,0
51062759,53241419,Undirected,,,101,20,23,0
51062759,35115089,Undirected,,,109,20,23,0
16689178,28723206,Undirected,,,102,7,20,0
5908578,2325594,Undirected,,,100,29,47,0
60696731,4478628,Undirected,,,101,32,22,0
14690491,2581592,Undirected,,,113,49,45,0
30255366,15792952,Undirected,,,100,22,20,0
35989777,17988709,Undirected,,,100,33,37,0
49719807,58260222,Undirected,,,101,41,43,0
6892035,42401070,Undirected,,,101,16,47,0
61385318,17988709,Undirected,,,100,33,37,0
30092014,20400174,Undirected,,,103,45,22,0
8891123,71746677,Undirected,,,102,45,10,0
8891123,1430363,Undirected,,,100,45,10,0
8891123,51632773,Undirected,,,106,45,10,0
8891123,50482932,Undirected,,,107,45,10,0
8891123,6122417,Undirected,,,101,45,10,0
8891123,17313848,Undirected,,,109,45,10,0
8891123,19840083,Undirected,,,104,45,10,0
8891123,51461296,Undirected,,,106,45,10,0
8891123,70303044,Undirected,,,105,45,10,0
8891123,60798190,Undirected,,,105,45,10,0
8891123,65365843,Undirected,,,103,45,10,0
8891123,33252522,Undirected,,,106,45,10,0
8891123,3127120,Undirected,,,103,45,10,0
8891123,45284375,Undirected,,,102,45,10,0
8891123,66603799,Undirected,,,103,45,10,0
8891123,40688639,Undirected,,,101,45,10,0
8891123,25111834,Undirected,,,103,45,10,0
8891123,57859275,Undirected,,,110,45,10,0
8891123,7960123,Undirected,,,109,45,10,0
8891123,76893334,Undirected,,,111,45,10,0
8891123,37383023,Undirected,,,104,45,10,0
8891123,49633316,Undirected,,,100,45,10,0
8891123,21508675,Undirected,,,101,45,10,0
8891123,743651,Undirected,,,100,45,10,0
8891123,2877067,Undirected,,,102,45,10,0
8891123,961324,Undirected,,,106,45,10,0
8891123,68155179,Undirected,,,110,45,10,0
8891123,77217221,Undirected,,,100,45,10,0
8891123,14049906,Undirected,,,102,45,10,0
8891123,15256654,Undirected,,,103,45,10,0
8891123,10613016,Undirected,,,102,45,10,0
65612618,47436615,Undirected,,,100,22,20,0
21965815,8547449,Undirected,,,140,51,36,0
43789344,14171256,Undirected,,,101,36,45,0
43789344,16306706,Undirected,,,113,36,22,0
43789344,42425473,Undirected,,,101,36,37,0
43789344,11199676,Undirected,,,105,36,45,0
69741601,54115225,Undirected,,,101,14,45,0
52243691,58260222,Undirected,,,100,41,43,0
4599037,7131073,Undirected,,,105,41,21,0
5319998,2581592,Undirected,,,118,49,45,0
1650070,50152046,Undirected,,,100,13,32,0
